Overlap,Coverage,Size
Quotient,0.25554727504387337,Absolute
First File,0.42325303603424247,Absolute
Second File,0.3920773089406905,Absolute
Quotient,0.871720980503374,Log 2
First File,0.9151350935378328,Log 2
Second File,0.9082757787675625,Log 2
